File accession,File format,Output type,Experiment accession,Assay,Biosample term id,Biosample term name,Biosample type,Biosample organism,Biosample treatments,Biosample treatments amount,Biosample treatments duration,Experiment target,Library made from,Library depleted in,Library extraction method,Library lysis method,Library crosslinking method,Library strand specific,Experiment date released,Project,RBNS protein concentration,Library fragmentation method,Library size range,Biological replicate(s),Technical replicate,Read length,Mapped read length,Run type,Paired end,Paired with,Derived from,Size,Lab,md5sum,dbxrefs,File download URL,Assembly,Platform,Controlled by,File Status,Audit WARNING,Audit INTERNAL_ACTION,Audit NOT_COMPLIANT,Audit ERROR
ENCFF699KTW,bed bedMethyl,methylation state at CpG,ENCSR658MZU,whole-genome shotgun bisulfite sequencing,UBERON:0001323,tibial nerve,tissue,Homo sapiens,,,,,DNA,,,,,FALSE,1/22/18,ENCODE,,,,1,,,,,,,"ENCFF161MAN, ENCFF480VWO",686090388,ENCODE Processing Pipeline,dff6d5cf9cef140df27f040522ee2d7f,,https://www.encodeproject.org/files/ENCFF699KTW/@@download/ENCFF699KTW.bed.gz,GRCh38,,,released,,experiment not submitted to GEO,,
ENCFF439JNT,bed bedMethyl,methylation state at CHH,ENCSR658MZU,whole-genome shotgun bisulfite sequencing,UBERON:0001323,tibial nerve,tissue,Homo sapiens,,,,,DNA,,,,,FALSE,1/22/18,ENCODE,,,,1,,,,,,,"ENCFF161MAN, ENCFF480VWO",8528028729,ENCODE Processing Pipeline,2ce22080dd66a7627b32f1cdf175cb2c,,https://www.encodeproject.org/files/ENCFF439JNT/@@download/ENCFF439JNT.bed.gz,GRCh38,,,released,,experiment not submitted to GEO,,
ENCFF001TLI,bed bedMethyl,methylation state at CpG,ENCSR000DGJ,RRBS,EFO:0003037,CMK,cell line,Homo sapiens,,,,,DNA,,see document,see document,,FALSE,9/30/11,ENCODE,,,,1,1,,,,,,ENCFF000LXP,14816856,"Richard Myers, HAIB",c4f0b8c1644a5aaa41e2852c46e3f7b8,,https://www.encodeproject.org/files/ENCFF001TLI/@@download/ENCFF001TLI.bed.gz,hg19,,,released,,biological replicates with identical biosample,,
ENCFF001TLJ,bed bedMethyl,methylation state at CpG,ENCSR000DGJ,RRBS,EFO:0003037,CMK,cell line,Homo sapiens,,,,,DNA,,see document,see document,,FALSE,9/30/11,ENCODE,,,,2,1,,,,,,ENCFF000LXT,16643436,"Richard Myers, HAIB",62e44fcfcc1204a7b0100f1a2850ef43,,https://www.encodeproject.org/files/ENCFF001TLJ/@@download/ENCFF001TLJ.bed.gz,hg19,,,released,,biological replicates with identical biosample,,
ENCFF578VJG,bed bedMethyl,methylation state at CHG,ENCSR267SNS,whole-genome shotgun bisulfite sequencing,UBERON:0000945,stomach,tissue,Homo sapiens,,,,,DNA,,,,,FALSE,1/18/18,ENCODE,,,,1,,,,,,,"ENCFF161MAN, ENCFF786GJA",2693497607,ENCODE Processing Pipeline,5d5fc97b1d449e78302f33cbb767a448,,https://www.encodeproject.org/files/ENCFF578VJG/@@download/ENCFF578VJG.bed.gz,GRCh38,,,released,,experiment not submitted to GEO,,
ENCFF844EFX,bed bedMethyl,methylation state at CpG,ENCSR267SNS,whole-genome shotgun bisulfite sequencing,UBERON:0000945,stomach,tissue,Homo sapiens,,,,,DNA,,,,,FALSE,1/18/18,ENCODE,,,,1,,,,,,,"ENCFF161MAN, ENCFF786GJA",686198683,ENCODE Processing Pipeline,286f14fbbba61f5db10ca04304d4f7db,,https://www.encodeproject.org/files/ENCFF844EFX/@@download/ENCFF844EFX.bed.gz,GRCh38,,,released,,experiment not submitted to GEO,,
ENCFF284GTX,bed bedMethyl,methylation state at CHH,ENCSR267SNS,whole-genome shotgun bisulfite sequencing,UBERON:0000945,stomach,tissue,Homo sapiens,,,,,DNA,,,,,FALSE,1/18/18,ENCODE,,,,1,,,,,,,"ENCFF161MAN, ENCFF786GJA",8451812202,ENCODE Processing Pipeline,997835880cbae9b6d450e9df933c7ce0,,https://www.encodeproject.org/files/ENCFF284GTX/@@download/ENCFF284GTX.bed.gz,GRCh38,,,released,,experiment not submitted to GEO,,
ENCFF001TOH,bed bedMethyl,methylation state at CpG,ENCSR000DEX,RRBS,EFO:0001196,IMR-90,cell line,Homo sapiens,,,,,DNA,,see document,see document,,FALSE,12/15/10,ENCODE,,,,1,1,,,,,,ENCFF000MFU,11719787,"Richard Myers, HAIB",5bbddbeaf38e60ba6ab62d5522cd1b8c,,https://www.encodeproject.org/files/ENCFF001TOH/@@download/ENCFF001TOH.bed.gz,hg19,,,released,,biological replicates with identical biosample,,
ENCFF001TOI,bed bedMethyl,methylation state at CpG,ENCSR000DEX,RRBS,EFO:0001196,IMR-90,cell line,Homo sapiens,,,,,DNA,,see document,see document,,FALSE,12/15/10,ENCODE,,,,2,1,,,,,,ENCFF000MFY,16751104,"Richard Myers, HAIB",c93b08a8f5279edc9733dc1b228561f3,,https://www.encodeproject.org/files/ENCFF001TOI/@@download/ENCFF001TOI.bed.gz,hg19,,,released,,biological replicates with identical biosample,,
ENCFF880YON,bed bedMethyl,methylation state at CHG,ENCSR007JSP,whole-genome shotgun bisulfite sequencing,UBERON:0001890,forebrain,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,3/14/16,ENCODE,,,,1,,,,,,,"ENCFF318JZY, ENCFF432FEF, ENCFF476ZJG",2405551770,ENCODE Processing Pipeline,d458489551d8e155cc0ad607a6f7f412,,https://www.encodeproject.org/files/ENCFF880YON/@@download/ENCFF880YON.bed.gz,mm10,,,released,,,,
ENCFF318YVL,bed bedMethyl,methylation state at CHH,ENCSR007JSP,whole-genome shotgun bisulfite sequencing,UBERON:0001890,forebrain,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,3/14/16,ENCODE,,,,1,,,,,,,"ENCFF318JZY, ENCFF432FEF, ENCFF476ZJG",7744677021,ENCODE Processing Pipeline,e05364800ee0dc136e767224b5cd0489,,https://www.encodeproject.org/files/ENCFF318YVL/@@download/ENCFF318YVL.bed.gz,mm10,,,released,,,,
ENCFF861QZG,bed bedMethyl,methylation state at CHG,ENCSR007JSP,whole-genome shotgun bisulfite sequencing,UBERON:0001890,forebrain,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,3/14/16,ENCODE,,,,2,,,,,,,"ENCFF476ZJG, ENCFF494HSH, ENCFF614AEO",2400201726,ENCODE Processing Pipeline,6e5b13ae93c652455af041ee59980b7d,,https://www.encodeproject.org/files/ENCFF861QZG/@@download/ENCFF861QZG.bed.gz,mm10,,,released,,,,
ENCFF326BGA,bed bedMethyl,methylation state at CpG,ENCSR007JSP,whole-genome shotgun bisulfite sequencing,UBERON:0001890,forebrain,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,3/14/16,ENCODE,,,,1,,,,,,,"ENCFF318JZY, ENCFF432FEF, ENCFF476ZJG",495938901,ENCODE Processing Pipeline,e09168c2bb5813bac9fccc681a887fb2,,https://www.encodeproject.org/files/ENCFF326BGA/@@download/ENCFF326BGA.bed.gz,mm10,,,released,,,,
ENCFF078XSR,bed bedMethyl,methylation state at CpG,ENCSR007JSP,whole-genome shotgun bisulfite sequencing,UBERON:0001890,forebrain,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,3/14/16,ENCODE,,,,2,,,,,,,"ENCFF476ZJG, ENCFF494HSH, ENCFF614AEO",494668957,ENCODE Processing Pipeline,a61096c693a020526d577479530b3c4f,,https://www.encodeproject.org/files/ENCFF078XSR/@@download/ENCFF078XSR.bed.gz,mm10,,,released,,,,
ENCFF619YYK,bed bedMethyl,methylation state at CHH,ENCSR007JSP,whole-genome shotgun bisulfite sequencing,UBERON:0001890,forebrain,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,3/14/16,ENCODE,,,,2,,,,,,,"ENCFF476ZJG, ENCFF494HSH, ENCFF614AEO",7718048622,ENCODE Processing Pipeline,7678042c055de9b7a351820ab877fb39,,https://www.encodeproject.org/files/ENCFF619YYK/@@download/ENCFF619YYK.bed.gz,mm10,,,released,,,,
ENCFF001TQA,bed bedMethyl,methylation state at CpG,ENCSR000DDL,RRBS,EFO:0003061,OVCAR3,cell line,Homo sapiens,,,,,DNA,,see document,see document,,FALSE,9/30/11,ENCODE,,,,1,1,,,,,,ENCFF000MKT,12410515,"Richard Myers, HAIB",a3703eb940277a98d74d9e86f81d2897,,https://www.encodeproject.org/files/ENCFF001TQA/@@download/ENCFF001TQA.bed.gz,hg19,,,released,,biological replicates with identical biosample,,
ENCFF001TQB,bed bedMethyl,methylation state at CpG,ENCSR000DDL,RRBS,EFO:0003061,OVCAR3,cell line,Homo sapiens,,,,,DNA,,see document,see document,,FALSE,9/30/11,ENCODE,,,,2,1,,,,,,ENCFF000MKS,17906681,"Richard Myers, HAIB",57f766d8ec4c8c9db0cbc196c0a40f64,,https://www.encodeproject.org/files/ENCFF001TQB/@@download/ENCFF001TQB.bed.gz,hg19,,,released,,biological replicates with identical biosample,,
ENCFF001TLC,bed bedMethyl,methylation state at CpG,ENCSR000DEB,RRBS,EFO:0005725,BE2C,cell line,Homo sapiens,,,,,DNA,,see document,see document,,FALSE,9/30/11,ENCODE,,,,1,1,,,,,,ENCFF000LXE,15528678,"Richard Myers, HAIB",d09c8a40dcd1c5b920c3589746cab8f4,,https://www.encodeproject.org/files/ENCFF001TLC/@@download/ENCFF001TLC.bed.gz,hg19,,,released,,biological replicates with identical biosample,,
ENCFF001TLD,bed bedMethyl,methylation state at CpG,ENCSR000DEB,RRBS,EFO:0005725,BE2C,cell line,Homo sapiens,,,,,DNA,,see document,see document,,FALSE,9/30/11,ENCODE,,,,2,1,,,,,,ENCFF000LXF,16314183,"Richard Myers, HAIB",e04381c92dace0c48e44dd9415550688,,https://www.encodeproject.org/files/ENCFF001TLD/@@download/ENCFF001TLD.bed.gz,hg19,,,released,,biological replicates with identical biosample,,
ENCFF001TQC,bed bedMethyl,methylation state at CpG,ENCSR925EIW,RRBS,EFO:0002713,Panc1,cell line,Homo sapiens,,,,,DNA,,see document,see document,,FALSE,9/30/11,ENCODE,,,,1,1,,,,,,ENCFF000MKX,14603966,"Richard Myers, HAIB",47cdd5ac898aefbcda4ae9b84088f4a1,,https://www.encodeproject.org/files/ENCFF001TQC/@@download/ENCFF001TQC.bed.gz,hg19,,,released,,biological replicates with identical biosample,,
ENCFF001TQD,bed bedMethyl,methylation state at CpG,ENCSR925EIW,RRBS,EFO:0002713,Panc1,cell line,Homo sapiens,,,,,DNA,,see document,see document,,FALSE,9/30/11,ENCODE,,,,2,1,,,,,,ENCFF000MKZ,15160706,"Richard Myers, HAIB",f02d02c00ced933eaaac65f422756d95,,https://www.encodeproject.org/files/ENCFF001TQD/@@download/ENCFF001TQD.bed.gz,hg19,,,released,,biological replicates with identical biosample,,
ENCFF176SNG,bed bedMethyl,methylation state at CHG,ENCSR587ASA,whole-genome shotgun bisulfite sequencing,UBERON:0012314,embryonic facial prominence,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,8/18/15,ENCODE,,,,1,,,,,,,"ENCFF249SNF, ENCFF411GUW, ENCFF476ZJG",2430684746,ENCODE Processing Pipeline,0d86062ba127329e5df4c1e109d076c3,,https://www.encodeproject.org/files/ENCFF176SNG/@@download/ENCFF176SNG.bed.gz,mm10,,,released,,,,
ENCFF915RPR,bed bedMethyl,methylation state at CHG,ENCSR587ASA,whole-genome shotgun bisulfite sequencing,UBERON:0012314,embryonic facial prominence,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,8/18/15,ENCODE,,,,2,,,,,,,"ENCFF476ZJG, ENCFF689TTU, ENCFF693JXJ",2461680916,ENCODE Processing Pipeline,aaa03f1b2b232d0dd84886efda04192e,,https://www.encodeproject.org/files/ENCFF915RPR/@@download/ENCFF915RPR.bed.gz,mm10,,,released,,,,
ENCFF901KED,bed bedMethyl,methylation state at CHH,ENCSR587ASA,whole-genome shotgun bisulfite sequencing,UBERON:0012314,embryonic facial prominence,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,8/18/15,ENCODE,,,,1,,,,,,,"ENCFF249SNF, ENCFF411GUW, ENCFF476ZJG",7840382286,ENCODE Processing Pipeline,6adf759c702e9456ba2ccc8ab77d73c8,,https://www.encodeproject.org/files/ENCFF901KED/@@download/ENCFF901KED.bed.gz,mm10,,,released,,,,
ENCFF311GQV,bed bedMethyl,methylation state at CpG,ENCSR587ASA,whole-genome shotgun bisulfite sequencing,UBERON:0012314,embryonic facial prominence,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,8/18/15,ENCODE,,,,1,,,,,,,"ENCFF249SNF, ENCFF411GUW, ENCFF476ZJG",507135750,ENCODE Processing Pipeline,dfbab1b1d6ddc5ab0a2f5c65912453e4,,https://www.encodeproject.org/files/ENCFF311GQV/@@download/ENCFF311GQV.bed.gz,mm10,,,released,,,,
ENCFF235LSX,bed bedMethyl,methylation state at CpG,ENCSR587ASA,whole-genome shotgun bisulfite sequencing,UBERON:0012314,embryonic facial prominence,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,8/18/15,ENCODE,,,,2,,,,,,,"ENCFF476ZJG, ENCFF689TTU, ENCFF693JXJ",515604520,ENCODE Processing Pipeline,a597eadcc2b28389c6aad839b7b25baa,,https://www.encodeproject.org/files/ENCFF235LSX/@@download/ENCFF235LSX.bed.gz,mm10,,,released,,,,
ENCFF495ICZ,bed bedMethyl,methylation state at CHH,ENCSR587ASA,whole-genome shotgun bisulfite sequencing,UBERON:0012314,embryonic facial prominence,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,8/18/15,ENCODE,,,,2,,,,,,,"ENCFF476ZJG, ENCFF689TTU, ENCFF693JXJ",7964833187,ENCODE Processing Pipeline,99081a8567efd5d8070c1fb0690af4e4,,https://www.encodeproject.org/files/ENCFF495ICZ/@@download/ENCFF495ICZ.bed.gz,mm10,,,released,,,,
ENCFF167VJT,bed bedMethyl,methylation state at CHG,ENCSR191UKH,whole-genome shotgun bisulfite sequencing,UBERON:0002048,lung,tissue,Mus musculus,,,,,DNA,,Qiagen DNeasy Blood and Tissue Kit,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,6/30/14,ENCODE,,,,1,,,,,,,"ENCFF327GZB, ENCFF476ZJG, ENCFF984MXV",2432219355,ENCODE Processing Pipeline,6753bb2ee4b91b412922fd44f1b83434,,https://www.encodeproject.org/files/ENCFF167VJT/@@download/ENCFF167VJT.bed.gz,mm10,,,released,,,,
ENCFF070FVI,bed bedMethyl,methylation state at CpG,ENCSR191UKH,whole-genome shotgun bisulfite sequencing,UBERON:0002048,lung,tissue,Mus musculus,,,,,DNA,,Qiagen DNeasy Blood and Tissue Kit,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,6/30/14,ENCODE,,,,1,,,,,,,"ENCFF327GZB, ENCFF476ZJG, ENCFF984MXV",509155341,ENCODE Processing Pipeline,b6d6462c0fa482648e066223aaffc96a,,https://www.encodeproject.org/files/ENCFF070FVI/@@download/ENCFF070FVI.bed.gz,mm10,,,released,,,,
ENCFF815VIM,bed bedMethyl,methylation state at CHH,ENCSR191UKH,whole-genome shotgun bisulfite sequencing,UBERON:0002048,lung,tissue,Mus musculus,,,,,DNA,,Qiagen DNeasy Blood and Tissue Kit,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,6/30/14,ENCODE,,,,1,,,,,,,"ENCFF327GZB, ENCFF476ZJG, ENCFF984MXV",7908886574,ENCODE Processing Pipeline,4804a8eb795ce98a8fdcd001cfe2ae6a,,https://www.encodeproject.org/files/ENCFF815VIM/@@download/ENCFF815VIM.bed.gz,mm10,,,released,,,,
ENCFF488VTG,bed bedMethyl,methylation state at CHG,ENCSR191UKH,whole-genome shotgun bisulfite sequencing,UBERON:0002048,lung,tissue,Mus musculus,,,,,DNA,,Qiagen DNeasy Blood and Tissue Kit,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,6/30/14,ENCODE,,,,2,,,,,,,"ENCFF354BWM, ENCFF476ZJG, ENCFF651AVT",2411445642,ENCODE Processing Pipeline,7a1dfd7544de0d4ab11d8413fdbd4298,,https://www.encodeproject.org/files/ENCFF488VTG/@@download/ENCFF488VTG.bed.gz,mm10,,,released,,,,
ENCFF291LSY,bed bedMethyl,methylation state at CHH,ENCSR191UKH,whole-genome shotgun bisulfite sequencing,UBERON:0002048,lung,tissue,Mus musculus,,,,,DNA,,Qiagen DNeasy Blood and Tissue Kit,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,6/30/14,ENCODE,,,,2,,,,,,,"ENCFF354BWM, ENCFF476ZJG, ENCFF651AVT",7818948957,ENCODE Processing Pipeline,d088aee5af305b4aa82e55dd93d38c5c,,https://www.encodeproject.org/files/ENCFF291LSY/@@download/ENCFF291LSY.bed.gz,mm10,,,released,,,,
ENCFF054AYU,bed bedMethyl,methylation state at CpG,ENCSR191UKH,whole-genome shotgun bisulfite sequencing,UBERON:0002048,lung,tissue,Mus musculus,,,,,DNA,,Qiagen DNeasy Blood and Tissue Kit,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,6/30/14,ENCODE,,,,2,,,,,,,"ENCFF354BWM, ENCFF476ZJG, ENCFF651AVT",502322243,ENCODE Processing Pipeline,769c62270794bac3adebdccd54387f48,,https://www.encodeproject.org/files/ENCFF054AYU/@@download/ENCFF054AYU.bed.gz,mm10,,,released,,,,
ENCFF744VPT,bed bedMethyl,methylation state at CHG,ENCSR473ZCM,whole-genome shotgun bisulfite sequencing,UBERON:0012314,embryonic facial prominence,tissue,Mus musculus,,,,,DNA,,Qiagen DNeasy Blood and Tissue Kit,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,6/30/14,ENCODE,,,,1,,,,,,,"ENCFF476ZJG, ENCFF679FHT, ENCFF876PCX",2455902691,ENCODE Processing Pipeline,1442fb715bb7cfbfed52906cbf42ee42,,https://www.encodeproject.org/files/ENCFF744VPT/@@download/ENCFF744VPT.bed.gz,mm10,,,released,,,,
ENCFF989UNH,bed bedMethyl,methylation state at CpG,ENCSR473ZCM,whole-genome shotgun bisulfite sequencing,UBERON:0012314,embryonic facial prominence,tissue,Mus musculus,,,,,DNA,,Qiagen DNeasy Blood and Tissue Kit,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,6/30/14,ENCODE,,,,1,,,,,,,"ENCFF476ZJG, ENCFF679FHT, ENCFF876PCX",506800772,ENCODE Processing Pipeline,654376ae517bd3a95eac70392dccffbd,,https://www.encodeproject.org/files/ENCFF989UNH/@@download/ENCFF989UNH.bed.gz,mm10,,,released,,,,
ENCFF063YAO,bed bedMethyl,methylation state at CHH,ENCSR473ZCM,whole-genome shotgun bisulfite sequencing,UBERON:0012314,embryonic facial prominence,tissue,Mus musculus,,,,,DNA,,Qiagen DNeasy Blood and Tissue Kit,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,6/30/14,ENCODE,,,,1,,,,,,,"ENCFF476ZJG, ENCFF679FHT, ENCFF876PCX",7959998306,ENCODE Processing Pipeline,11b0bbdba7674e8194d023b7a500e4e6,,https://www.encodeproject.org/files/ENCFF063YAO/@@download/ENCFF063YAO.bed.gz,mm10,,,released,,,,
ENCFF757MSK,bed bedMethyl,methylation state at CHG,ENCSR473ZCM,whole-genome shotgun bisulfite sequencing,UBERON:0012314,embryonic facial prominence,tissue,Mus musculus,,,,,DNA,,Qiagen DNeasy Blood and Tissue Kit,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,6/30/14,ENCODE,,,,2,,,,,,,"ENCFF323BVI, ENCFF325LQB, ENCFF476ZJG",2418692906,ENCODE Processing Pipeline,a3054955e28a62a6c69660b354be8344,,https://www.encodeproject.org/files/ENCFF757MSK/@@download/ENCFF757MSK.bed.gz,mm10,,,released,,,,
ENCFF686ZQQ,bed bedMethyl,methylation state at CpG,ENCSR473ZCM,whole-genome shotgun bisulfite sequencing,UBERON:0012314,embryonic facial prominence,tissue,Mus musculus,,,,,DNA,,Qiagen DNeasy Blood and Tissue Kit,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,6/30/14,ENCODE,,,,2,,,,,,,"ENCFF323BVI, ENCFF325LQB, ENCFF476ZJG",501455725,ENCODE Processing Pipeline,7e23f6f40c6388781eeac26ad9f6089a,,https://www.encodeproject.org/files/ENCFF686ZQQ/@@download/ENCFF686ZQQ.bed.gz,mm10,,,released,,,,
ENCFF709AXF,bed bedMethyl,methylation state at CHH,ENCSR473ZCM,whole-genome shotgun bisulfite sequencing,UBERON:0012314,embryonic facial prominence,tissue,Mus musculus,,,,,DNA,,Qiagen DNeasy Blood and Tissue Kit,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,6/30/14,ENCODE,,,,2,,,,,,,"ENCFF323BVI, ENCFF325LQB, ENCFF476ZJG",7853887320,ENCODE Processing Pipeline,971ebe2a661f7d6312ef11587ccc96f6,,https://www.encodeproject.org/files/ENCFF709AXF/@@download/ENCFF709AXF.bed.gz,mm10,,,released,,,,
ENCFF001TOJ,bed bedMethyl,methylation state at CpG,ENCSR000DFP,RRBS,NTR:0003860,Jurkat clone E61,cell line,Homo sapiens,,,,,DNA,,see document,see document,,FALSE,12/15/10,ENCODE,,,,1,1,,,,,,ENCFF000MGA,12035820,"Richard Myers, HAIB",45b80265a057cdff3f621863445f9d3b,,https://www.encodeproject.org/files/ENCFF001TOJ/@@download/ENCFF001TOJ.bed.gz,hg19,,,released,,"biological replicates with identical biosample, NTR biosample",,
ENCFF001TOK,bed bedMethyl,methylation state at CpG,ENCSR000DFP,RRBS,NTR:0003860,Jurkat clone E61,cell line,Homo sapiens,,,,,DNA,,see document,see document,,FALSE,12/15/10,ENCODE,,,,2,1,,,,,,ENCFF000MGE,14105008,"Richard Myers, HAIB",73288d3cb917488a0ec698571a322709,,https://www.encodeproject.org/files/ENCFF001TOK/@@download/ENCFF001TOK.bed.gz,hg19,,,released,,"biological replicates with identical biosample, NTR biosample",,
ENCFF230BWH,bed bedMethyl,methylation state at CHG,ENCSR377CZO,whole-genome shotgun bisulfite sequencing,UBERON:0002101,limb,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,10/28/16,ENCODE,,,,1,,,,,,,"ENCFF166ZBT, ENCFF426ZWR, ENCFF476ZJG",2432334087,ENCODE Processing Pipeline,23062cca8b36583d6216b1a607e19fd9,,https://www.encodeproject.org/files/ENCFF230BWH/@@download/ENCFF230BWH.bed.gz,mm10,,,released,,,,
ENCFF572FTW,bed bedMethyl,methylation state at CpG,ENCSR377CZO,whole-genome shotgun bisulfite sequencing,UBERON:0002101,limb,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,10/28/16,ENCODE,,,,1,,,,,,,"ENCFF166ZBT, ENCFF426ZWR, ENCFF476ZJG",503711925,ENCODE Processing Pipeline,e8c0958433ca87bd4c508a7277fddd2c,,https://www.encodeproject.org/files/ENCFF572FTW/@@download/ENCFF572FTW.bed.gz,mm10,,,released,,,,
ENCFF245SIR,bed bedMethyl,methylation state at CHH,ENCSR377CZO,whole-genome shotgun bisulfite sequencing,UBERON:0002101,limb,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,10/28/16,ENCODE,,,,1,,,,,,,"ENCFF166ZBT, ENCFF426ZWR, ENCFF476ZJG",7843232198,ENCODE Processing Pipeline,a4e8a882cb4f86ed69167d3bb2a118fd,,https://www.encodeproject.org/files/ENCFF245SIR/@@download/ENCFF245SIR.bed.gz,mm10,,,released,,,,
ENCFF607KLP,bed bedMethyl,methylation state at CHG,ENCSR377CZO,whole-genome shotgun bisulfite sequencing,UBERON:0002101,limb,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,10/28/16,ENCODE,,,,2,,,,,,,"ENCFF014YXT, ENCFF198FZE, ENCFF476ZJG",2416583850,ENCODE Processing Pipeline,100afb5486f6ad0258460a54d48dd0e6,,https://www.encodeproject.org/files/ENCFF607KLP/@@download/ENCFF607KLP.bed.gz,mm10,,,released,,,,
ENCFF558LRK,bed bedMethyl,methylation state at CpG,ENCSR377CZO,whole-genome shotgun bisulfite sequencing,UBERON:0002101,limb,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,10/28/16,ENCODE,,,,2,,,,,,,"ENCFF014YXT, ENCFF198FZE, ENCFF476ZJG",501555071,ENCODE Processing Pipeline,5df4eb4adad53c31f32f12f8f331f7b5,,https://www.encodeproject.org/files/ENCFF558LRK/@@download/ENCFF558LRK.bed.gz,mm10,,,released,,,,
ENCFF925AWP,bed bedMethyl,methylation state at CHH,ENCSR377CZO,whole-genome shotgun bisulfite sequencing,UBERON:0002101,limb,tissue,Mus musculus,,,,,DNA,,,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,10/28/16,ENCODE,,,,2,,,,,,,"ENCFF014YXT, ENCFF198FZE, ENCFF476ZJG",7781269485,ENCODE Processing Pipeline,3ddc1991c9ad435973a8af8dc3afdc8d,,https://www.encodeproject.org/files/ENCFF925AWP/@@download/ENCFF925AWP.bed.gz,mm10,,,released,,,,
ENCFF960XHM,bed bedMethyl,methylation state at CpG,ENCSR000DDG,RRBS,EFO:0001203,MCF-7,cell line,Homo sapiens,,,,,DNA,,see document,see document,,FALSE,7/30/12,ENCODE,,,,1,1,,,,,,ENCFF000MHY,16517586,ENCODE Consortium,5e239032ac81df2705b92caba61c325e,,https://www.encodeproject.org/files/ENCFF960XHM/@@download/ENCFF960XHM.bed.gz,hg19,,,released,,biological replicates with identical biosample,,
ENCFF211QUQ,bed bedMethyl,methylation state at CpG,ENCSR000DDG,RRBS,EFO:0001203,MCF-7,cell line,Homo sapiens,,,,,DNA,,see document,see document,,FALSE,7/30/12,ENCODE,,,,2,1,,,,,,ENCFF000MHX,16567896,ENCODE Consortium,2246cdafd4cac2b54939b6fed93e47ef,,https://www.encodeproject.org/files/ENCFF211QUQ/@@download/ENCFF211QUQ.bed.gz,hg19,,,released,,biological replicates with identical biosample,,
ENCFF001TOR,bed bedMethyl,methylation state at CpG,ENCSR439FXM,RRBS,EFO:0005726,LNCaP clone FGC,cell line,Homo sapiens,,,,,DNA,,see document,see document,,FALSE,9/30/11,ENCODE,,,,1,1,,,,,,ENCFF000MGR,18369468,"Richard Myers, HAIB",5ef1481dab6351f8c73d9e79e5428e57,,https://www.encodeproject.org/files/ENCFF001TOR/@@download/ENCFF001TOR.bed.gz,hg19,,,released,,biological replicates with identical biosample,,
ENCFF001TOS,bed bedMethyl,methylation state at CpG,ENCSR439FXM,RRBS,EFO:0005726,LNCaP clone FGC,cell line,Homo sapiens,,,,,DNA,,see document,see document,,FALSE,9/30/11,ENCODE,,,,2,1,,,,,,ENCFF000MGT,16690852,"Richard Myers, HAIB",6f787c8c894c3c2097f799f817fe226e,,https://www.encodeproject.org/files/ENCFF001TOS/@@download/ENCFF001TOS.bed.gz,hg19,,,released,,biological replicates with identical biosample,,
